Timestamp,Source IP,Destination IP,packet length,protocol
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,179,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.475397000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.476241000,142.250.184.131,192.168.100.5,920,QUIC
1682190856.477286000,192.168.100.5,142.250.184.131,73,QUIC
1682190856.485892000,23.50.184.71,192.168.100.5,521,TLS
1682190856.494148000,192.168.100.5,216.58.212.1,86,QUIC
1682190856.494412000,192.168.100.5,216.58.212.1,82,QUIC
1682190856.496177000,192.168.100.5,23.50.184.71,180,TLS
1682190856.496722000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.498617000,192.168.100.5,216.58.212.1,86,QUIC
1682190856.505533000,216.58.212.1,192.168.100.5,85,QUIC
1682190856.505767000,216.58.212.1,192.168.100.5,85,QUIC
1682190856.512658000,192.168.100.5,216.58.212.1,62,TCP
1682190856.512923000,192.168.100.5,216.58.212.1,62,TCP
1682190856.513128000,192.168.100.5,216.58.212.1,62,TCP
1682190856.513318000,192.168.100.5,216.58.212.1,62,TCP
1682190856.513528000,192.168.100.5,216.58.212.1,62,TCP
1682190856.514337000,192.168.100.5,216.58.212.1,150,QUIC
1682190856.514416000,192.168.100.5,216.58.212.1,110,QUIC
1682190856.516980000,192.168.100.5,216.58.212.1,1283,QUIC
1682190856.525736000,216.58.212.1,192.168.100.5,62,TCP
1682190856.525798000,192.168.100.5,216.58.212.1,54,TCP
1682190856.525889000,216.58.212.1,192.168.100.5,62,TCP
1682190856.525930000,192.168.100.5,216.58.212.1,54,TCP
